Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,UNet,10,w8,5,0,0.5765309691429138,0.586211085319519,0.11439038965115285,0.25583357810974117,0.20642009377479553,0.09356082648147811,2.734409129662697,weak
KDSB,UNet,10,actsilu,5,0,0.5329926371574402,0.5314932465553284,0.03413416021590086,0.21229524612426753,0.15170225501060486,0.07980992533336752,2.6600105843666237,weak
KDSB,UNet,10,outhard,5,0,0.520053094625473,0.5744616389274597,0.21696424942890966,0.19935570359230037,0.1946706473827362,0.12470482392048339,1.5986206252888602,noise
KDSB,UNet,10,actmish,5,0,0.430353707075119,0.4584929943084717,0.06808761238891733,0.10965631604194637,0.07870200276374817,0.08404630030616118,1.304713183596349,noise
KDSB,UNet,10,outbn0,5,2,0.38177289590239527,0.4376770853996277,0.3422415213328116,0.06107550486922264,0.057886093854904175,0.17193733680567524,0.3552195584967714,noise
KDSB,UNet,10,d3,5,1,0.3638923681341112,0.381953477859497,0.22723137492749226,0.04319497710093856,0.002162486314773504,0.12830984199692733,0.33664585996429613,noise
KDSB,UNet,10,outsoftmax,5,1,0.35233204811811447,0.3308800756931305,0.3056252018412902,0.03163465708494184,-0.04891091585159302,0.15753713467971486,0.20080762005261513,noise
KDSB,UNet,10,actleakyrelu,5,0,0.3496589496731758,0.2580018639564514,0.22821386537308636,0.02896155864000316,-0.1217891275882721,0.1286581115697482,0.2251048012958165,noise
KDSB,UNet,10,actelu,5,1,0.3317634120583534,0.2401957511901855,0.27346573741133945,0.011066021025180783,-0.13959524035453802,0.1452353190879349,0.07619373231438761,noise
KDSB,UNet,10,d5,5,0,0.32377441227436066,0.2942641377449035,0.11238760531893083,0.003077021241188027,-0.08552685379982,0.0930741143866193,0.03305990351309098,noise
KDSB,UNet,10,base,5,1,0.32069739103317263,0.3797909915447235,0.17516557885310602,0.0,0.0,,,reference
KDSB,UNet,10,w32,5,0,0.3172452837228775,0.3202625513076782,0.12911662468540433,-0.003452107310295105,-0.05952844023704529,0.09731812039398959,0.035472400168841615,noise
KDSB,UNet,10,actgelu,5,0,0.3137782782316208,0.2824044227600097,0.1368778971350795,-0.00691911280155183,-0.0973865687847138,0.09941683835152385,0.06959699097538012,noise
KDSB,UNet,10,outtanh,5,1,0.22586780125275255,0.1614100933074951,0.19337234309765305,-0.09482958978042008,-0.21838089823722842,0.11668405468616537,0.8127039297312277,noise
KDSB,UNet,10,noskip,5,1,0.18876423239707943,0.2102789133787155,0.08866663946237238,-0.1319331586360932,-0.16951207816600802,0.08780062980240408,1.502644786637746,noise
KDSB,UNet,10,attn,5,1,0.15259873252362008,0.1767849773168563,0.08732791166371445,-0.16809865850955255,-0.2030060142278672,0.08753187324682275,1.9204279798233865,noise
KDSB,UNet,20,base,5,0,0.6767658919095993,0.7948901057243347,0.2859308941156354,0.0,0.0,,,reference
KDSB,UNet,20,outbn0,5,1,0.5974717929959297,0.8442939519882202,0.36592706249470963,-0.07929409891366967,0.0494038462638855,0.2076820123533927,0.38180532832445047,noise
KDSB,UNet,50,base,5,0,0.885579982,0.8886199,0.010441557866962194,0.0,0.0,,,reference
KDSB,UNet,50,outbn0,5,0,0.8735552668571472,0.8720285892486572,0.00621839891725407,-0.012024715142852749,-0.01659131075134279,0.005434972231451172,2.2124703918941777,weak
